,Unnamed: 0,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
163,832,21,METRO17300M17300,"Clarksville, TN-KY HUD Metro FMR Area",579,600,699,1014,1044,KY,84862.0
164,833,21,METRO21060M21060,"Elizabethtown, KY MSA",460,498,608,885,1052,KY,107547.0
166,835,21,METRO26580M26580,"Huntington-Ashland, WV-KY-OH MSA",429,512,617,767,830,KY,86643.0
167,836,21,METRO30460M30460,"Lexington-Fayette, KY MSA",505,608,748,1023,1064,KY,408326.0
169,841,21,METRO36980M36980,"Owensboro, KY MSA",433,496,637,890,1027,KY,109875.0
170,927,22,METRO10780M10780,"Alexandria, LA MSA",579,579,697,887,912,LA,145035.0
171,928,22,METRO12940M12940,"Baton Rouge, LA HUD Metro FMR Area",678,730,849,1097,1310,LA,672653.0
172,930,22,METRO26380M26380,"Houma-Bayou Cane-Thibodaux, LA MSA",593,593,731,971,1093,LA,194477.0
173,931,22,METRO29180M29180,"Lafayette, LA MSA",630,694,782,1046,1259,LA,239086.0
174,932,22,METRO29340M29340,"Lake Charles, LA MSA",586,644,781,990,1371,LA,193568.0
175,933,22,METRO33740M33740,"Monroe, LA MSA",557,589,737,970,1002,LA,170053.0
176,934,22,METRO35380M35380,"New Orleans-Metairie-Kenner, LA MSA",815,906,1070,1394,1512,LA,1316510.0
177,935,22,METRO43340M43340,"Shreveport-Bossier City, LA MSA",610,670,802,1023,1055,LA,375965.0
178,971,23,METRO12620MM0730,"Bangor, ME HUD Metro FMR Area",576,670,860,1098,1213,ME,87262.0
179,973,23,METRO30340M30340,"Lewiston-Auburn, ME MSA",484,592,743,918,1028,ME,103793.0
180,974,23,METRO38860MM6400,"Portland, ME HUD Metro FMR Area",762,918,1172,1505,1560,ME,243537.0
181,975,23,METRO38860MM6450,"York-Kittery-South Berwick, ME HUD Metro FMR Area",900,905,1086,1581,1642,ME,41375.0
182,990,24,METRO12580M12580,"Baltimore-Towson, MD HUD Metro FMR Area",931,1052,1263,1622,2003,MD,2464740.0
