,Unnamed: 0,Unnamed: 0.1,State,FMR_Area,Rent50_0Bed,Rent50_1Bed,Rent50_2Bed,Rent50_3Bed,Rent50_4Bed,MSAName,msa,State_Alpha,pop2000
317,1787,1788,39,1320,419.0,464.0,590.0,751.0,798.0,"Canton--Massillon, OH MSA",1320,OH,406934
319,1789,1790,39,1680,508.0,578.0,703.0,916.0,980.0,"Cleveland--Lorain--Elyria, OH PMSA",1680,OH,2250871
320,1790,1791,39,1840,470.0,543.0,683.0,865.0,989.0,"Columbus, OH MSA",1840,OH,1540157
321,1791,1792,39,2000,451.0,518.0,636.0,845.0,1029.0,"Dayton--Springfield, OH MSA",2000,OH,950558
322,1792,1793,39,3200,478.0,576.0,699.0,900.0,928.0,"Hamilton--Middletown, OH PMSA",3200,OH,332807
324,1794,1795,39,4320,407.0,427.0,544.0,671.0,691.0,"Lima, OH MSA",4320,OH,155084
325,1795,1796,39,4800,347.0,427.0,534.0,705.0,779.0,"Mansfield, OH MSA",4800,OH,175818
326,1796,1797,39,6020,382.0,405.0,513.0,693.0,744.0,"Parkersburg--Marietta, WV--OH MSA",6020,OH,63251
327,1797,1798,39,8080,342.0,396.0,499.0,628.0,655.0,"Steubenville--Weirton, OH--WV MSA",8080,OH,73894
328,1798,1799,39,8400,442.0,485.0,605.0,808.0,846.0,"Toledo, OH MSA",8400,OH,618203
329,1799,1800,39,9000,316.0,384.0,487.0,622.0,728.0,"Wheeling, WV--OH MSA",9000,OH,70226
330,1800,1801,39,9320,407.0,456.0,554.0,697.0,773.0,"Youngstown--Warren, OH MSA",9320,OH,594746
331,1850,1851,40,2340,379.0,399.0,492.0,701.0,722.0,"Enid, OK MSA",2340,OK,57813
333,1852,1853,40,4200,380.0,410.0,507.0,737.0,889.0,"Lawton, OK MSA",4200,OK,114996
334,1853,1854,40,5880,439.0,476.0,581.0,801.0,915.0,"Oklahoma City, OK MSA",5880,OK,1083346
335,1854,1855,40,8560,469.0,509.0,640.0,857.0,930.0,"Tulsa, OK MSA",8560,OK,803235
336,1918,1919,41,1890,493.0,569.0,712.0,1037.0,1247.0,"Corvallis, OR MSA",1890,OR,78153
337,1919,1920,41,2400,469.0,572.0,720.0,1018.0,1157.0,"Eugene--Springfield, OR MSA",2400,OR,322959
338,1920,1921,41,4890,480.0,556.0,690.0,1002.0,1065.0,"Medford--Ashland, OR MSA",4890,OR,181269
339,1921,1922,41,6440,555.0,643.0,739.0,1076.0,1297.0,"Portland--Vancouver, OR--WA PMSA",6440,OR,1572771
340,1922,1923,41,7080,487.0,545.0,649.0,946.0,1139.0,"Salem, OR PMSA",7080,OR,347214
341,1949,1950,42,240,492.0,598.0,706.0,937.0,1009.0,"Allentown--Bethlehem--Easton, PA MSA",240,PA,637958
342,1950,1951,42,280,385.0,433.0,531.0,697.0,717.0,"Altoona, PA MSA",280,PA,129144
343,1951,1952,42,2360,393.0,446.0,579.0,710.0,759.0,"Erie, PA MSA",2360,PA,280843
344,1952,1953,42,3240,493.0,550.0,691.0,882.0,980.0,"Harrisburg--Lebanon--Carlisle, PA MSA",3240,PA,629401
345,1953,1954,42,3680,354.0,381.0,461.0,566.0,629.0,"Johnstown, PA MSA",3680,PA,232621
346,1954,1955,42,4000,465.0,560.0,690.0,865.0,897.0,"Lancaster, PA MSA",4000,PA,470658
349,1957,1958,42,6280,525.0,574.0,694.0,882.0,937.0,"Pittsburgh, PA MSA",6280,PA,2358695
350,1958,1959,42,6680,479.0,531.0,663.0,885.0,911.0,"Reading, PA MSA",6680,PA,373638
351,1959,1960,42,7560,431.0,498.0,595.0,769.0,835.0,"Scranton--Wilkes-Barre--Hazleton, PA MSA",7560,PA,624776
352,1960,1961,42,7610,441.0,450.0,573.0,688.0,774.0,"Sharon, PA MSA",7610,PA,120293
353,1961,1962,42,8050,535.0,610.0,737.0,899.0,925.0,"State College, PA MSA",8050,PA,135758
354,1962,1963,42,9140,385.0,446.0,546.0,711.0,754.0,"Williamsport, PA MSA",9140,PA,120044
355,1963,1964,42,9280,453.0,509.0,650.0,792.0,817.0,"York, PA MSA",9280,PA,381751
359,2003,2004,45,1440,560.0,620.0,690.0,910.0,1057.0,"Charleston--North Charleston, SC MSA",1440,SC,549033
361,2005,2006,45,1760,540.0,602.0,670.0,867.0,941.0,"Columbia, SC MSA",1760,SC,536691
362,2006,2007,45,2655,402.0,456.0,522.0,645.0,846.0,"Florence, SC MSA",2655,SC,125761
363,2007,2008,45,3160,498.0,539.0,605.0,793.0,876.0,"Greenville--Spartanburg--Anderson, SC MSA",3160,SC,962441
364,2008,2009,45,5330,536.0,603.0,706.0,899.0,998.0,"Myrtle Beach, SC MSA",5330,SC,196629
365,2009,2010,45,8140,427.0,465.0,516.0,665.0,732.0,"Sumter, SC MSA",8140,SC,104646
366,2040,2041,46,6660,461.0,502.0,642.0,841.0,898.0,"Rapid City, SD MSA",6660,SD,88565
367,2041,2042,46,7760,488.0,504.0,636.0,822.0,971.0,"Sioux Falls, SD MSA",7760,SD,172412
370,2107,2108,47,3580,435.0,480.0,606.0,834.0,860.0,"Jackson, TN MSA",3580,TN,107377
371,2108,2109,47,3660,352.0,405.0,508.0,668.0,827.0,"Johnson City--Kingsport--Bristol, TN--VA MSA",3660,TN,388218
372,2109,2110,47,3840,428.0,500.0,598.0,816.0,911.0,"Knoxville, TN MSA",3840,TN,687249
374,2111,2112,47,5360,572.0,638.0,740.0,986.0,1090.0,"Nashville, TN MSA",5360,TN,1231311
375,2180,2181,48,40,409.0,438.0,560.0,740.0,929.0,"Abilene, TX MSA",40,TX,126555
376,2181,2182,48,320,445.0,458.0,575.0,799.0,899.0,"Amarillo, TX MSA",320,TX,217858
377,2182,2183,48,640,656.0,747.0,912.0,1240.0,1435.0,"Austin--San Marcos, TX MSA",640,TX,1249763
378,2183,2184,48,840,440.0,490.0,585.0,748.0,791.0,"Beaumont--Port Arthur, TX MSA",840,TX,385090
379,2184,2185,48,1145,526.0,587.0,674.0,922.0,957.0,"Brazoria, TX PMSA",1145,TX,241767
380,2185,2186,48,1240,426.0,468.0,535.0,677.0,791.0,"Brownsville--Harlingen--San Benito, TX MSA",1240,TX,335227
381,2186,2187,48,1260,505.0,576.0,706.0,986.0,1014.0,"Bryan--College Station, TX MSA",1260,TX,152415
382,2187,2188,48,1880,540.0,565.0,713.0,987.0,1090.0,"Corpus Christi, TX MSA",1880,TX,380783
383,2188,2189,48,1920,633.0,713.0,868.0,1147.0,1412.0,"Dallas, TX PMSA",1920,TX,3445899
384,2189,2190,48,2320,458.0,494.0,584.0,845.0,989.0,"El Paso, TX MSA",2320,TX,679622
385,2190,2191,48,2800,558.0,597.0,732.0,995.0,1125.0,"Fort Worth--Arlington, TX PMSA",2800,TX,1702625
386,2191,2192,48,2920,556.0,639.0,788.0,1016.0,1223.0,"Galveston--Texas City, TX PMSA",2920,TX,250158
387,2193,2194,48,3360,589.0,657.0,801.0,1071.0,1347.0,"Houston, TX PMSA",3360,TX,4177646
388,2194,2195,48,3810,467.0,495.0,629.0,915.0,1102.0,"Killeen--Temple, TX MSA",3810,TX,312952
389,2195,2196,48,4080,430.0,479.0,569.0,792.0,927.0,"Laredo, TX MSA",4080,TX,193117
390,2196,2197,48,4420,458.0,475.0,553.0,750.0,771.0,"Longview--Marshall, TX MSA",4420,TX,208780
391,2197,2198,48,4600,400.0,493.0,616.0,881.0,920.0,"Lubbock, TX MSA",4600,TX,242628
392,2198,2199,48,4880,416.0,446.0,522.0,631.0,723.0,"McAllen--Edinburg--Mission, TX MSA",4880,TX,569463
393,2199,2200,48,5800,374.0,409.0,539.0,785.0,841.0,"Odessa--Midland, TX MSA",5800,TX,237132
394,2200,2201,48,7200,393.0,447.0,569.0,818.0,946.0,"San Angelo, TX MSA",7200,TX,104010
